year,month,trip_count,fare_per_trip,tip,additional_charges,trip_total_per_trip,fare_per_minute,trip_total_per_minute,fare_per_mile,miles_per_hour,minutes,miles
2019,1,226485,10.243272181380666,0.45930194052586265,2.7485789345872793,13.451153056493807,0.6605837091170772,0.9222369885810255,3.251452524073677,18.62382024649307,16.657246616773737,5.874916336097213
2019,2,313125,11.33857884231537,0.6583952095808383,2.86684573253493,14.863819784431138,0.6569458810390228,0.9225322225798087,3.2365001523627637,16.580881065574825,19.28487483699268,5.916803967510027
2019,3,337023,11.055514015363936,0.538972117629954,2.9005913542992614,14.495077487293152,0.6612904343700757,0.9274360092950592,3.9132945830671946,17.609449155484853,18.192114682578538,6.069241783290889
2019,4,324793,12.641767217889548,0.6023374888005592,2.9481338883535053,16.192238595043612,0.7050846632775161,0.9659646426313434,3.7868614437163495,16.37281993381058,19.757348783173693,6.014002756820899
2019,5,329921,12.933906904986346,0.6285413780874816,3.0683710948984757,16.6308193779723,0.7203271446559526,0.9970546420671452,10.791576844699641,16.77032387844381,19.704863942176058,6.204886771904311
2019,6,100546,13.14920533884988,0.9044119109661249,2.6265728124440555,16.68019006226006,0.7173379134873179,0.9498220193479208,3.84226023125157,17.33367582998719,20.889851577055943,6.604976744952846
2019,7,285597,11.146213020444893,0.5598343119850698,2.750289638896767,14.45633697132673,0.7718968287938385,1.0635568416095416,4.670339233289416,20.087225313576972,15.442638578136325,5.957088554975903
2019,8,313194,12.37830226632694,0.7431623849754465,3.0562892009425466,16.177753852244933,0.6582166862344367,0.9115913861504984,3.241724848162992,17.45845877866901,20.19771302557946,6.614928414837896
2019,9,282312,12.364706424098161,0.7074761257048938,2.9826613108900792,16.054843860693133,0.6838504477776768,0.9404751995672256,4.248386216836083,17.449593809475914,19.77552678124439,6.353745011151093
2019,10,288310,12.56891887204745,0.7533349519614304,3.198769761714821,16.5210235857237,0.6988193421006977,0.9841561866606738,6.241311630571544,18.374122140312522,19.922415050928976,6.904373234709167
2019,11,324632,12.630463108997265,0.7547807979496785,3.142273004509722,16.527516911456665,0.7052657624907335,0.9801576583452968,7.237468311512549,18.003708823164065,19.623244473742577,6.605870939087952
2019,12,329500,12.911836115326253,0.8122427921092564,3.1304164795144156,16.854495386949925,0.719596709961457,0.9940066797016972,3.1056587575661267,18.473940986712165,19.69677263530602,6.7426351310531105
2020,1,214562,11.524337953598494,0.5547021373775413,2.9135261136641155,14.99256620464015,0.7472009914812512,1.0262271193387003,6.489974968819093,21.317897123363462,16.267524460684246,6.657574738602362
2020,2,298690,12.087322976999564,0.6804077806421374,4.061014697512471,16.828745455154174,0.7146039620804205,1.0817674992540702,2.941147557888446,18.864903065419764,18.07623070742241,6.504266888529914
2020,3,290159,12.255521972435803,0.6651284295851585,4.099004166681026,17.019654568701988,0.714507753858483,1.07502294825306,2.808477941505362,19.720624156457358,18.32086654788122,6.793064575904935
2020,4,49052,10.80093574166191,0.3143602707330996,3.548632063932154,14.663928076327164,0.7844791473785165,1.1736400775785656,2.45211425986028,23.297970171885236,14.062930835304032,6.262934061383838
2020,5,58889,11.283219276944761,0.36398987926437876,3.6002917352986126,15.247500891507752,0.7631762729320795,1.1328701455550927,2.4870862079801364,22.986737591983157,15.054867066288555,6.60858951853487
2020,6,74110,11.901767642693294,0.5272702739171502,3.7526166509243017,16.181654567534746,0.7508006652667241,1.116706206233987,3.9247175061993693,21.940449631831275,16.280563801556244,6.7467125327621105
2020,7,115657,12.472742678782954,0.5581331004608454,4.016495153773659,17.047370933017458,0.7665882542762609,1.1452648941432844,2.678412107661149,20.83173856124264,16.885092414063422,6.6893951188600775
2020,8,109320,12.31259147457007,0.5195298207098427,4.041366264178558,16.87348755945847,0.7766681648592223,1.1620515204708604,2.7288777232781882,20.802657183602115,16.465370472008782,6.535049280351262
2020,9,118757,12.654790875485235,0.4435275394292547,4.189095969079718,17.287414383994207,0.7671657920690844,1.1456082462028685,2.906483542117253,20.390438134166796,17.083245619205606,6.630919720866981
2020,10,122381,12.985859733128509,0.5008457195152842,3.506561312622057,16.99326676526585,0.8220119458520315,1.1607802387055215,3.007435009199596,20.32045666727471,16.7294475177247,6.477367292798719
2020,11,102793,12.226079082402656,0.5109782576945172,3.48193275756307,16.218990097660242,0.7981704092168749,1.126000898077368,2.7755996737720428,21.451537641148054,16.51822400358001,6.7675048933293125
2020,12,95939,11.874765400175168,0.4713996746882429,3.275324581890979,15.62148965675439,0.7955013480532164,1.1177824516168149,2.803386020781445,21.507523341100644,16.12373174621374,6.668220453621572
2021,1,101632,12.586721840618788,0.4812336397095003,3.3644670235588183,16.432422503887107,0.843253634324292,1.1740798129034047,2.9719083026344757,22.04529311984443,16.028882635390428,6.862846435177897
2021,2,113768,14.822000140693973,0.5700040449517244,3.422126011255716,18.81440089693985,1.0176400473119762,1.3599830845607435,4.7547052955216955,19.734278693783338,16.683617683941588,6.338141945889881
2021,3,120463,15.12472182548909,0.5562244660710134,3.4231251868336265,19.104071478393728,0.9958247709592678,1.319578772556871,4.047352744329611,20.74081641698504,17.11927535149105,6.8165973053966775
2021,4,127325,18.71390508826257,0.7666268450257007,4.0654434349309145,23.545975368219185,1.2171396182876648,1.5919251818218934,5.033170253926402,20.4140845880133,17.9487157536488,6.9929988054192025
2021,5,126465,18.359474538044555,0.7716535433070866,3.9576354212004907,23.08876350255213,1.1688056061334584,1.5183724481363592,4.765382395085671,20.465202562110516,18.309522397501286,7.129186202506623
