year,month,hour,trip_count,fare_per_minute,trip_total_per_minute,fare_per_mile,miles_per_hour,minutes,miles
2022,12,0,4981,1.3208244109916631,1.7759446649684258,4.292281875542402,24.02195176121831,13.983149300675901,6.664238907849829
2022,12,1,2580,1.1167715831602407,1.5596663620243,3.461770898372369,24.537672841192126,13.663217054263566,6.689127441860465
2022,12,2,1553,1.0898166187052831,1.5292591581069355,3.439833646949253,25.0886013244883,13.868265722257995,6.883478879587894
2022,12,3,1527,1.1801204581416078,1.681568604973037,3.094981987213401,29.502267182548024,16.832034490285963,9.477434577603143
2022,12,4,2098,1.1682947101788046,1.7069532304535815,2.678221134460081,32.411579839190715,18.257705751509373,11.068598474737845
2022,12,5,3534,1.197302864665004,1.717605621921757,2.71145467130227,32.21387711414995,19.417402376910015,11.447565930956424
2022,12,6,6123,1.1731129121303023,1.6325134584357612,3.412640306197771,25.698037434687713,20.371247754368774,9.721254205454843
2022,12,7,8977,1.406221724458195,1.811891815635936,11.648410107580897,18.550672313224553,22.04583008428948,7.520359953213768
2022,12,8,11767,1.4343934964907294,1.8405274288098206,10.969119788761583,17.206915561989575,20.087996090762303,6.563391892580947
2022,12,9,11525,1.0281467306692376,1.4474635799145124,5.26560455528477,19.577339724503773,17.186983369486622,6.62016968329718
2022,12,10,9713,0.9152033136581772,1.3463777471950125,3.2228464955852663,22.02158263322828,17.18319949208964,7.458764552661382
2022,12,11,9476,0.9309825233418036,1.3759506927104288,3.7411070881603505,22.30938235474488,17.737461305754888,7.872206690586745
2022,12,12,9701,0.9696426294338062,1.4106485843710235,3.672130956152285,21.479030571774075,18.1310363192798,7.718434553138851
2022,12,13,9701,0.9773309697573239,1.408759833997927,3.6359306745887814,21.142797962770352,18.677220561454146,7.8161566539532
2022,12,14,9895,0.9805160971156823,1.3734217301712548,3.8274839632027664,19.511921265527498,20.547641906686877,7.718887812026276
2022,12,15,10777,1.1102965353576675,1.4720495799994722,5.826079900960893,23.755203774429788,23.81284834988092,7.795396900807275
2022,12,16,12636,0.9824052030069897,1.3343332952834808,7.887149234970681,15.831196409305296,24.553929249762582,7.036973844571067
2022,12,17,14418,1.1255001280982997,1.4790957102123123,6.584944003378911,14.051698419659054,22.841496740185878,6.108640497988626
2022,12,18,15860,1.1012586141688738,1.497671986237158,6.112337087470582,15.54510278449746,17.972807902480035,5.417927938209331
2022,12,19,14443,1.072348809060054,1.5072050140332038,6.670824239899175,18.696049624660898,15.747825936439797,5.982680966558195
2022,12,20,12289,1.161557231492323,1.614377708468243,4.435050096198015,21.01950269777551,15.058534732959014,6.484417088453088
2022,12,21,11771,1.3083030182976443,1.7684331087175789,5.017098260407775,21.180295395349617,14.398904086313822,6.210553478888794
2022,12,22,11337,1.5535145512170299,1.978865030275568,6.030550165336215,21.814885799451055,14.052333068713063,6.1488853400370465
2022,12,23,8925,1.4478614309621356,1.8652778046410086,5.138412844048369,22.809565131641072,13.815897292250233,6.265410442577031
